,Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
单接口无缓存,HTTP请求,9963,2991,3010,3199,3258,3388,95,3942,0.00%,16.56384,388.75,2.18
,总体,9963,2991,3010,3199,3258,3388,95,3942,0.00%,16.56384,388.75,2.18
单接口有缓存,HTTP请求,7625,1937,1941,2119,2215,2377,95,4104,0.00%,25.34764,595.47,3.34
,总体,7625,1937,1941,2119,2215,2377,95,4104,0.00%,25.34764,595.47,3.34
混合场景无缓存,HTTP请求,21885,2046,1566,3161,3248,3406,61,5304,0.00%,24.28849,480.79,3.62
,总体,21885,2046,1566,3161,3248,3406,61,5304,0.00%,24.28849,480.79,3.62
混合场景有缓存,HTTP请求,42495,1053,902,2369,2462,2610,20,4527,0.00%,47.17756,935.87,7.03
,总体,42495,1053,902,2369,2462,2610,20,4527,0.00%,47.17756,935.87,7.03
压力10并发无缓存,HTTP请求,5269,565,572,636,652,687,88,830,0.00%,17.54631,411.8,2.31
,总体,5269,565,572,636,652,687,88,830,0.00%,17.54631,411.8,2.31
压力50并发无缓存,HTTP请求,4996,2984,3002,3194,3258,3528,113,6538,0.00%,16.58677,389.29,2.19
,总体,4996,2984,3002,3194,3258,3528,113,6538,0.00%,16.58677,389.29,2.19
压力100并发无缓存,HTTP请求,6724,4446,4452,4892,5069,6042,124,11692,0.00%,22.24545,522.1,2.93
,总体,6724,4446,4452,4892,5069,6042,124,11692,0.00%,22.24545,522.1,2.93
压力10并发有缓存,HTTP请求,7659,388,387,466,485,527,86,723,0.00%,25.51452,599.38,3.36
,总体,7659,388,387,466,485,527,86,723,0.00%,25.51452,599.38,3.36
压力50并发有缓存,HTTP请求,7554,1973,1980,2101,2139,2628,102,4721,0.00%,25.09576,589.56,3.31
,总体,7554,1973,1980,2101,2139,2628,102,4721,0.00%,25.09576,589.56,3.31
压力100并发有缓存,HTTP请求,7372,4053,4076,4352,4456,5327,153,11453,0.00%,24.40389,573.3,3.22
,总体,7372,4053,4076,4352,4456,5327,153,11453,0.00%,24.40389,573.3,3.22
